id,common_name,taxon,warehouse_id,type,description,soil,germination_period,flowering_period,seed_longevity,management,conservation_status,profile_pic,profile_pic_author,map,confusion,
43,Common Cudweed, Filago vulgaris,878721,F,"A branched, erect silvery-grey plant up to 50cm. Woolly stems have strap-shaped, wavy, blunt-tipped, woolly leaves. The leaves below the flowering head are shorter than the terminal cluster of flowers. Globular flower clusters are present on each branch with outer woolly white bracts and inner pointed yellow-bristles.","Acid and calcareous sandy soils, loams and chalk.",Autumn and spring,July - August  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Near Threatened   ,images/Filago_vulgaris_2_CG.jpg,Chris Gibson,images/Filago vulgaris.svg,other Filago spp.,images/images/Filago vulgaris.svg
44,Tall Ramping-fumitory, Fumaria bastardii,878722,F,"Scrambling, much-branched plant. The blue-green leaves are irregularly divided almost to the leaf midrib and have narrow blunt lobes. The leaf segments are relatively broad and flat. The 10-18 flowers are in racemes at several points along the stem opposite leaves. The asymmetrical flowers have fused petals forming a tube but separating at the tip. Each flower is 9-11mm long, pale salmon-pink with only the mid-petal tipped darker purple at the end. The sepals present at the junction of the stem and flower on both sides of the flower are small, toothed and white 3mm long by 1.5mm wide. Each flower produces a spherical fruit 2-2.4mm diameter and the fruit stalks are never recurved.",Sandy loams.,Spring,June - August  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Fumaria_barstardii_CS.jpg,Cath Shellswell,images/Fumaria bastardii.svg,other Fumaria spp.,images/images/Fumaria bastardii.svg
45,White Ramping-fumitory, Fumaria capreolata,878723,F,"Scrambling, much-branched plant. The blue-green leaves are irregularly divided almost to the leaf midrib and have narrow blunt lobes. The leaf segments are relatively broad and flat. Flower racemes are present at several points along the stem opposite leaves, the raceme is shorter than the stalk of the flower raceme and have around 20 flowers. The asymmetrical flowers have fused petals forming a tube but separating at the tip. Each flower is 10-14mm long, creamy-white with the mid-petal tipped, wing of the top petal and top of the lower petal forming a blackish red spot. The sepals are small, toothed at the base, white and 4-6mm long by 2.5-3mm wide. Each flower produces a spherical fruit 2mm diameter and the stalks are strongly recurved.",Sandy loams.,Spring,June - August  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Fumaria_capreolata_CG.jpg,Chris Gibson,images/Fumaria capreolata.svg,other Fumaria spp.,images/images/Fumaria capreolata.svg
46,Dense-flowered Fumitory, Fumaria densiflora,878724,F,"Scrambling, much-branched plant. The blue-green leaves are irregularly divided almost to the leaf midrib and have narrow blunt lobes. The leaf segments are channelled and very narrow. Flower racemes are present at several points along the stem opposite leaves and have around 20-25 flowers. The asymmetrical flowers have fused petals forming a tube but separating at the tip.  Each flower is 6-7mm long, pink-red with purple-black tipped petals. The sepals are large in comparison to the flower 2mm long by 3mm wide, and white. Each flower produces a spherical fruit 2mm diameter.","Chalk loams and occasionally coastal sands, calcareous clays and sandy loams.",Spring (limited autumn germination),June - August  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Fumaria_densiflora_CS.jpg,Cath Shellswell,images/Fumaria densiflora.svg,other Fumaria spp.,images/images/Fumaria densiflora.svg
47,Common Ramping-fumitory, Fumaria muralis ssp. neglecta,878725,F,"This is a large-flowered fumitory with relatively broad and channelled blue-green leaf segments. The asymmetrical flowers have fused petals forming a tube but separating at the tip. Flowers 9-11mm long, pinkish-red with darker red tipped petals, 8-20 flowers per raceme, raceme longer than stalk.  The pale sepal is toothed mainly at the base and is 2.7-3mm long by 1.5-2mm wide and half the length of the flower. Fruits are spherical with a rounded apex. Each flower produces a spherical fruit 2mm diameter.",Freely-draining and acidic loams.,Spring (limited autumn germination),June - October  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Fumaria_muralis.jpg,"Malcolm Storey, bioimages.org.uk",images/Fumaria muralis ssp neglecta.svg,other Fumaria spp.,images/images/Fumaria muralis ssp neglecta.svg
48,Western Ramping-fumitory, Fumaria occidentalis,878726,F,"The most vigorous ramping-fumitory, scrambling and much branched. The asymmetrical flowers have fused petals forming a tube but separating at the tip. The white flowers are 12-15mm long becoming pink with age. The tips of the petals are blackish-red. Each flower raceme has 12-20 flowers and the raceme same length as flower stalk.  The sepal is white and toothed at the base and 5mm long by 3mm wide. The leaves are green-blue, irregularly divided, broad and flat. This plant is endemic to Cornwall and the Isles of Scilly.",Sandy loams.,Autumn,May - October  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Nationally scarce   ,images/Fumaria_occidentalis_2_CG.jpg,Chris Gibson,images/Fumaria occidentalis.svg,other Fumaria spp.,images/images/Fumaria occidentalis.svg
49,Fine-leaved Fumitory, Fumaria parviflora,878727,F,"A typical fumitory with blue-green leaves, irregularly divided into very narrow and channelled segments. The asymmetrical flowers have fused petals forming a tube but separating at the tip. Flowers are 5-6mm long, white with reddish-black tipped petals. There are 16-20 flowers per raceme. The sepals are white, irregularly toothed and small 1mm by 0.8mm wide. Fruits are spherical, sometimes with short beak at apex.",Chalky and limestone loams.,Spring,June - August  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Vulnerable   ,images/Fumaria_parviflora_ES.jpg,Emily Swan,images/Fumaria parviflora.svg,other Fumaria spp.,images/images/Fumaria parviflora.svg
50,Purple Ramping-fumitory, Fumaria purpurea,878728,F,"This is a large-flowered fumitory with relatively broad and flat green-blue leaf segments. The asymmetrical flowers have fused petals forming a tube but separating at the tip.  Flowers are 10-13mm long, pinkish-purple with petals tipped darker purple. Each raceme has 20-25 flowers and is the same length as the flower stalk.  The sepal is white, toothed and oblong and half the length of the flower 6mm long by 3mm wide. As fruits ripen the stalks can become gently-recurved. The fruits are squarish in shape and 2.5mm in diameter",Sandy loams.,Spring,June - August  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Nationally Scarce   ,images/Fumaria_purpurea.jpg,K.J. Walker,images/Fumaria purpurea.svg,other Fumaria spp.,images/images/Fumaria purpurea.svg
51,Martin’s Ramping-fumitory, Fumaria reuteri,878729,F,"This is a large-flowered fumitory with relatively broad and flat green-blue leaf segments. The asymmetrical flowers have fused petals forming a tube but separating at the tip. Flowers are 11-13mm long, pink with blackish-red tipped petals. Each raceme has 15-20 flowers and the raceme is longer than stalk.  The sepal is white, with very few teeth and 4mm long by 2.5mm wide. Each flower produces a single spherical fruit 2.5mm in diameter. Martin's ramping fumitory is very restricted and has only been found at 14 sites in southern England, most of which are on allotments.",Sandy loams and chalky loams.,Spring,June – August  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Near Threatened   ,images/Fumaria_reuteri_CS.jpg,Cath Shellswell,images/Fumaria reuteri.svg,other Fumaria spp.,images/images/Fumaria reuteri.svg
52,Red Hemp-nettle,Galeopsis angustifolia,878731,F,"Low-growing plant, up to 50cm. Shallowly-toothed, softly-hairy, spear-shaped leaves up to 1.5cm long by less than 1cm wide. The relatively large asymmetrical flowers have a hooded upper-lips, large three-lobed lower lip and very long corolla tube and are densely clustered in leaf axils. The pinkish-red petals have white patches and each flower produced four seeds. Red hemp-nettle has declined through the use of broad-spectrum herbicides, more competitive crop varieties and an increase in fertiliser application, and the general change from spring to autumn cultivation, which has reduced the amount of suitably managed habitat.",Light chalky and sandy soils and coastal shingle.,Spring,"July - September, some regrowth and flowering in cereal stubbles  ",Long-lived, Uncropped cultivated plots (annual)<br/> Greening fallow land,Critically Endangered   ,images/Fumaria_vaillantii_CS.jpg,Cath Shellswell,images/Fumaria vaillantii.svg,other Fumaria spp.,images/images/Fumaria vaillantii.svg
53,Few-flowered Fumitory, Fumaria vaillantii,878730,F,"A typical fumitory with blue-green leaves, leaf segments are relatively flat. The asymmetrical flowers have fused petals forming a tube but separating at the tip. Flowers are 5-6mm long, pale pink with reddish-black tipped petals. There are 6-16 loosely arranged flowers per raceme and the raceme is longer than flower stalk. The pale purple toothed sepal is very small 1mm long by 0.5mm wide. Fruits are spherical, rounded at apex and 2mm in diameter.",Calcareous loams.,Spring,June – August  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,"Vulnerable
",images/Galeopsis_angustifolia_CS.jpg,Cath Shellswell,images/Galeopsis angustifolia.svg,,images/images/Galeopsis angustifolia.svg
54,Downy Hemp-nettle, Galeopsis segetum,878732,F,"Member of the mint family, up to 50cm tall. The stems are not thickened at the leaf nodes. Shallowly-toothed, softly-hairy, spear-shaped leaves up to 8cm long by 3cm wide. The sulphur-yellow flower are 2.5cm in length with asymmetrical petals formed into a tube with a large lower lip at the opening. There is a bright yellow tongue on the lower lip. Downy hemp-nettle was historically found in central England but the last record was in north Wales in 1975.",Sandy and stony loams.,Spring,July - August  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Critically Endangered   ,images/Galeopsis_segetum_CG.jpg,Chris Gibson,images/Galeopsis segetum.svg,,images/images/Galeopsis segetum.svg
55,Large-flowered Hemp-nettle, Galeopsis speciosa,878733,F,"Tall branched plant, up to 1m. Nettle-like ovate leaves are shallowly toothed and 2.5-8cm long. The large asymmetrical flowers have a hairy hooded upper-lips, large three-lobed lower lip and very long corolla tube up to 3cm. The pale-yellow petals have a large violet patch on the lower lip and each flower produced four seeds.  ",Clay loams.,Autumn and spring,July - October  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Vulnerable   ,images/Galeopsis_speciosa_2_PS.jpg,Pete Stroh,images/Galeopsis speciosa.svg,,images/images/Galeopsis speciosa.svg
56,False Cleavers, Galium spurium,878734,F,"Similar to common cleavers Galium aparine, but with shorter and narrower leaves.  Scrambling and climbing plant up to 100cm. Flowers are greenish-white, 1mm across and the flowering/fruiting stalk is straight. Fruits are less than 3mm across, blackish when ripe, and the bases of its hooked bristles not swollen.",Sandy soils and clay loams.,Autumn,August - October  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Near Threatened   ,images/Galium_spurium.jpg,Fornax,images/Galium spurium.svg,,images/images/Galium spurium.svg
57,Corn Cleavers, Galium tricornutum,878735,F,"Sprawling plant, with 4-angled prickly stems. Linear to lanceolate leaves in whorls. Cream flowers are 1-1.5mm across and grouped in sets of three. Fruit occur in groups of three and are covered with minute projections rather than hooked bristles with stalks strongly arched downwards. Very similar to false cleavers Galium spurium which are darker green. Corn cleavers has declined due to seed cleaning, the increased use of high-nitrogen fertilisers and competitive crop varieties.",Sandy soils and clay loams.,Autumn,August - October  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Critically Endangered   ,images/Galium_tricornutum.png,,images/Galium tricornutum.svg,,images/images/Galium tricornutum.svg
58,Nit-grass, Gastridium ventricosum,878736,G,"Erect, tufted grass, up to 50cm tall. The leaf blades are up to 10cm long by 4mm wide with a short ligule. The flower heads are spear shaped, tapering to a point. The lemmas have an bent awn up to 4mm in length. Nit-grass has declined due to targeted gramnicides, increased use of high-nitrogen fertilisers and competitive crop varieties. It has increased in set-aside land in the early 21th Century.",Thin limestone soils and well-drained calcareous clays prone to drought.,Autumn,May - September  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Nationally Scarce   ,images/Gastridium_ventricosum.jpg,,images/Gastridium ventricosum.svg,,images/images/Gastridium ventricosum.svg
59,Long-stalked Crane’s-bill, Geranium columbinum,878737,F,"Slender annual, up to 40cm. The five-angles leaves have long stalks and are deeply divided 5/6 of the length into narrow segments. Pink unnotched petals are 7-9mm in diameter and are on long stalks, 2-6cm in length. The fruits are hairless and unwrinkled.  ",Calcareous clays and loams.,Autumn and spring,June – July,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Geranium_columbinum_LR.jpg,Lliam Rooney,images/Geranium columbinum.svg,Geranium dissectum,images/images/Geranium columbinum.svg
60,Small-flowered Crane’s-bill, Geranium pusillum,878738,F,Spreading plant with downy stems and leaves. The leaves are round with 7-9 lobes. Dingy-mauve petals are 2-4mm across and are notched. The fruits are downy and smooth. Small-flowered crane's-bill can easily be confused for dove's-foot crane's-bill Geranium molle which has wrinkled hairless seeds.,"Sandy soils, and calcareous clays and loams.",Autumn and spring,June – September,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Geranium_pusillum_ES.jpg,Emily Swan,images/Geranium pusillum.svg,Geranium molle,images/images/Geranium pusillum.svg
61,Corn Marigold, Glebionis segetum,878739,F,"Tall branched plant, up to 60cm. Deeply-shallowly lobed leaves are approximately 10cm long and greyish-green in colour with a waxy surface. The orangey-yellow flower heads are typical of the daisy family with disc florets producing cylindrical unwinged seeds and ray florets producing broad winged seeds.",Sandy soils which may be acid or calcareous where they are derived from shell-sand.,Spring (early autumn seedlings may be able to survive frosts),June - October  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Vulnerable   ,images/Glebionis_segetum_CS.jpg,Cath Shellswell,images/Glebionis segetum.svg,,images/images/Glebionis segetum.svg
62,Jagged Chickweed, Holosteum umbellatum,878740,F,"Up to 30cm tall. Ovate-lanceolate leaves are arranged opposite each other up the stem, up to 2cm long and 5-6mm wide. 5-10 flowers are clustered at the end of the stems with 5 white petals. The calyx has a white margin.",Sandy and calcareous loams.,Spring,March-May  ,Unknown,Unknown  ,Near threatened / Extinct ,images/Holosteum_umbellatum.jpg,,images/Holosteum umbellatum.svg,,images/images/Holosteum umbellatum.svg
63,Henbane, Hyoscyamus niger,878741,F,"Tall bristly-stemmed annual and biennial plant, up to 80cm. Sticky-haired glaucous-green strong-smelling leaves that are oval-oblong and toothed. The upper leaves may clasp the stem. Two rows of flowers are present along a flowering stem, flowering in succession with new buds growing at the top of the stem. Dull-yellow flowers have purple veins and a purple centre. Whole plant is very poisonous.   ","Sandy soils, and light chalk and limestone soils.",Spring,July - September  ,Unknown,Uncropped cultivated plots (annual)<br/>  Uncropped cultivated plots (biennial)<br/> Greening fallow land,Vulnerable   ,images/Hyoscyamus_nigra_2_spain_CG.jpg,Chris Gibson,images/Hyoscyamus niger.svg,,images/images/Hyoscyamus niger.svg
64,Smooth Cat's-ear, Hypochaeris glabra,878742,F,"Small dandelion-like annual with a rosette of leaves and flowering stem up to 40cm. The scales on the flowering stem are shaped-like cats ears. Hairless 1-8cm long leaves are narrowly-spear shaped, broader closer to the tip than base with occasional teeth. Each inflorescent in the flower head has a single large yellow petal twice as long as broad only opening in full sunshine.",Acidic sandy soils.,Autumn,June - October  ,Short-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Vulnerable   ,images/Hypochaeris_glabra_LR.jpg,Lliam Rooney,images/Hypochaeris glabra.svg,,images/images/Hypochaeris glabra.svg
65,Wild Candytuft, Iberis amara,878743,F,"Erect plant with a branched stem, up to 40cm. Lower leaves spoon-shaped, whilst the upper leaves are broader near the tip than the base, with 2-4 blunt teeth. The flowers are in open clusters at the ends of branches, each flower having four white (or lilac) petals of unequal size. Fruits circular with projecting wings that are triangular lobe-shaped and distinguish the species from other members of the cabbage family. Wild candytuft has declined due to more agriculturally intensive management of field margins.",Thin calcareous soils over chalk.,Autumn,May - August  ,Very long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Vulnerable   ,images/Iberis_amara_1_CG.jpg,Chris Gibson,images/Iberis amara.svg,,images/images/Iberis amara.svg
66,Sharp-leaved Fluellen, Kickxia elatine ,878744,F,"Long-stemmed, prostrate creeping plant with many branching stems and occasionally forming mats. Leaves are arranged alternatively up the stem and basal leaves are round. Sharp-leaved fluellen has hairy triangular-shaped leaves with teeth at the bottom projecting sideways similar to an arrow-head. These leaves are only present from the second or third set of leaves on the flowering stem. Asymmetrical yellow flowers have a purple upper lip. Flowers are borne solitarily on long stalks from the leaf axils.","Well-drained calcareous soils, loams and sandy soils.  ",Spring,July - October  ,Long-live,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Kickxia_elatine_2_PS.jpg,Pete Stroh,images/Kickxia elatine.svg,,images/images/Kickxia elatine.svg
67,Round-leaved Fluellen, Kickxia spuria,878745,F,"Long-stemmed, prostrate creeping plant with many branching stems and occasionally forming mats. Leaves are arranged alternatively up the stem and basal leaves are round. Round-leaved fluellen continues to grow hairy round-oval shaped leaves along the flowering stem. The leaves tend to be larger than those produced by sharp-leaved fluellen Kickxia elatine. Asymmetrical yellow flowers have a purple upper lip. Flowers are borne solitarily on long stalks from the leaf axils.","Well-drained calcareous soils, loams and clay soils.",Spring,July - October  ,Long-live,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Kickxia_spuria_2_PS.jpg,Pete Stroh,images/Kickxia spuria.svg,,images/images/Kickxia spuria.svg
68,Henbit Dead-nettle, Lamium amplexicaule,878746,F,Low-growing irregularly-branched plant up to 30cm. Round irregularly-toothed leaves arranged in opposite pairs up the stem. Lower leaves have short stalks and upper leaves are stalkless and clasp the stem. Up to 10 pinkish-purple asymmetrical flowers are borne in whorls in the leaf axils and at the end of the stem. Each flower produces four seeds.,"Present on a wide variety of soils, especially well drained calcareous loams.",Spring,July - August  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Unsprayed root crops<br/> Greening fallow land,Least Concern   ,images/Lamium_amplexicaule_CS.jpg,Cath Shellswell,images/Lamium amplexicaule.svg,Lamium confertum,images/images/Lamium amplexicaule.svg
69,Northern Dead-nettle, Lamium confertum,878747,F,"Spring germinating plant, up to 30cm. Irregularly branched stem with triangular-shaped toothed leaves in opposite pairs up the square stem. The pinkish-purple asymmetrical flowers are in whorls of 3-7 at the top of the stems. They are 1-1.8cm long and each flower produces four seeds.",Present on a wide variety of soils.,Spring,May - September  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Lamium_Confertum.jpg,,images/Lamium confertum.svg,Lamium amplexicaule,images/images/Lamium confertum.svg
70,Yellow Vetchling, Lathyrus aphaca,878748,F,"A waxy grey-green scrambling member of the pea family, up to 40cm. True leaves are absent in mature plants, but the stipules are enlarged to replace leaves. These are large and triangular, borne in pairs along the stem with a flower and single tendril at each node. Yellow flowers, typical of pea family are borne singly on long stems in the leaf axils. The seed pod is 2-4cm long.",Calcareous loams and clays.,Autumn,June - August  ,Unknown,Uncropped cultivated plots (annual)<br/>  Uncropped cultivated plots (biennial)<br/> Greening fallow land,Vulnerable   ,images/Lathyrus_aphaca_LR.jpg,Lliam Rooney,images/Lathyrus aphaca.svg,,images/images/Lathyrus aphaca.svg
71,Venus’s-looking-glass, Legousia hybrida,878749,F,"Short plant, up to 25cm tall but often smaller. The stem has short hairs. The upper leaves are stalkless, oval with wavy edges and up to 1.5cm long. The purple five petalled flowers are up to 1cm across when fully open and close when the sun is not shining. The green sepals are longer than the petals enclosing the flower. The fruit capsule is distinctive up to 3cm long by 4mm wide and almost cylindrical in shape. The name originates from the ripe seeds which are slightly shiny.","Calcareous loams, clays and sands.",Spring and autumn,May - August  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Legousia_hybrida_LR.jpg,Lliam Rooney,images/Legousia hybrida.svg,,images/images/Legousia hybrida.svg
72,Greater Venus's-looking-glass, Legousia speculum-veneris,878750,F,Grows up to 40cm. The stem is hairless. The large five-petalled purple flowers are 2.5cm across and close when the sun is not shining. Each flower has a white centre. The green sepals are as long as the petals. The distinctive fruit capsule is up to 1.5cm in length by 4mm wide. There is only one known field with greater Venus's-looking-glass in Hampshire.,Calcareous loams.,Autumn (limited spring germination),March - July  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Near Threatened   ,images/Legousia_speculum-veneris_CG.jpg,Chris Gibson,images/Legousia speculum-veneris.svg,,images/images/Legousia speculum-veneris.svg
73,Field Pepperwort, Lepidium campestre,878751,F,"Annual and biennial softly hairy plant up to 60cm. Lyre-shaped basal leaves wither, and triangular toothed stem leaves are stalkless with clasping pointed basal lobes. Inconspicuous white flowers are 2-2.5mm in diameter in long racemes. Fruits are 5 x 4 mm, covered in minute bumps, visible using a hand lens, and have a short style not projecting above the fruit notch.","Dry sandy and gravelly soils, brown loams.",Spring,May - August  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Lepidium_campestre_CS.jpg,Cath Shellswell,images/Lepidium campestre.svg,,images/images/Lepidium campestre.svg
74,Field Gromwell or  Corn Gromwell, Lithospermum arvense,878752,F,"A tall plant found scrambling amongst crops, up to 80cm. Small, white flowers are found where the uppermost leaves join the stem. Leaves are grey-green, narrow and pointed. The plant is covered in short bristles. Each flower produces 4 warty pale brown seeds. Field gromwell is susceptible to many herbicides. Recently, field gromwell has been found to be a good source of Omega 3 and is grown as a crop using imported seed from Europe.",Calcareous loams and clays.,Autumn and spring,May - July  ,Long-lived, Uncropped cultivated plots (annual)<br/> Greening fallow land,Endangered   ,images/Lithospermum_arvense_MW.jpg,Markus Wagner,images/Lithospermum arvense.svg,,images/images/Lithospermum arvense.svg
75,Darnel, Lolium temulentum,878753,G,A tall grass that can either grow in tufts or solitary stems. The green hairless leaves are up to 40cm in length and have a 2mm blunt ligule. Each flower spikelet is 12-20mm long by 4-6mm wide and is enclosed in a glume that is longer than the flower. The lemmas may have straight rough awns up to 2cm long but may be awnless. Darnel is thought to have declined due to better seed cleaning.,Can live in a wide range of soils.,Unknown,June - August  ,Short-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Critically Endangered / Extinct   ,images/Lolium_temulentum.jpg,,images/Lolium temulentum.svg,,images/images/Lolium temulentum.svg
76,Grass-poly, Lythrum hyssopifolium,878754,F,Low-growing spreading plant with a branched stem up to 20cm. Leaves are stalkless and oval at the base of the stem and become increasingly narrower with parallel-sided up the flowering stems. Flowers are borne signally in the leaf axels along the stem and have six pink petals. Grass-poly has specialised ecological requirements and is only found in areas that are wet in winter and remain crop-free as the stubble dies due to water-logging and dry-out in the summer.  ,"Water-retentive soils, especially clays.",Spring,June - July  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Endangered   ,images/Lythrum_hyssopifolium_CG.jpg,Chris Gibson,images/Lythrum hyssopifolium.svg,,images/images/Lythrum hyssopifolium.svg
77,Dwarf Mallow, Malva neglecta,878755,F,"Creeping, downy plant. The kidney-shaped to roundish leaves are very shallowly-lobed 5-7 times. The flowers are clustered along the stem and have five whitish petals with lilac veins. They are 8-13mm long. The fruit is segmented and smooth.",Well-drained loams and sands.,Spring,June - September  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern ,images/Malva_neglecta_CG.jpg,Chris Gibson,images/Malva neglecta.svg,,images/images/Malva neglecta.svg
78,Small Tree-mallow, Malva pseudolavatera,878756,F,"Very similar to common mallow Malva sylvestris, but distinguished by the outer sepal-ring forming a lobed cup. Up to 150cm. The leaves are a paler green, less lobed and smooth. The five petalled flowers are pink-lilac. It is an annual or biennial.","Sandy, stony loams.",Autumn,June - July  ,Unknown,Uncropped cultivated plots (annual)<br/>  Uncropped cultivated plots (biennial)<br/> Greening fallow land,Least Concern   ,images/Malva_pseudolavatera_2_CG.jpg,Chris Gibson,images/Malva pseudolavatera.svg,,images/images/Malva pseudolavatera.svg
79,Corn Mint,Mentha arvensis,878758,F,"Downy, aromatic herb with a 'peppery' mint smell when bruised, 10-30cm tall. Leaves are round-elliptical and blunt-tipped arranged in opposite pairs up the stem. Dense whorls of flowers are present at the leaf axils. The calyx of each flower is bell-shaped and very hairy with short triangular teeth. The petals are mauve with projecting stamens.",All soil types.,Spring,May - October  ,Unknown, Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Melampyrum_arvense_CS.jpg,Cath Shellswell,images/Melampyrum arvense.svg,M. cristatum (but different habitat and v rare),images/images/Melampyrum arvense.svg
80,Field Cow-wheat, Melampyrum arvense,878757,F,"Erect plant with branching stems, up to 60cm. The leaves are glossy-green, spear-shaped and stalkless, often with a few teeth at the base. Flowers are bright coloured, borne in dense, cylindrical, terminal spikes and have a yellow corolla-tube and two mainly purple pink lips above a strongly toothed pinkish-red bract. Field cow-wheat has declined due to better seed cleaning and more intensive agriculture along field margins. It is partially parasitic on a range of other flowering plants.",Thin soils over chalk and calcareous clays.,Autumn,June - September  ,Very short-lived,Uncropped cultivated plots (annual)<br/>  Uncropped cultivated plots (biennial)<br/> Greening fallow land,"Near Threatened
",images/Mentha_arvensis_CG.jpg,Chris Gibson,images/Mentha arvensis.svg,,images/images/Mentha arvensis.svg
81,Annual Mercury, Mercurialis annua,878759,F,"Hairless, bright-light shiny green plant, with one or several flowering stems. Leaves are 2-5cm long and toothed. The plants are dioecious, with male catkins on stalks groin from the leaf axils, or female stalkless bristly fruits located in the leaf axils. This plant often lives in slightly nutrient enriched soils.  ",All soil types.,Spring,July - October  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Mercurialis_annua_2_LR.jpg,Lliam Rooney,images/Mercurialis annua.svg,,images/images/Mercurialis annua.svg
82,Perfoliate Penny-cress or Cotswolds Penny-cress, Microthlaspi perfoliatum,878760,,"Small, greyish-green plant, up to 30cm. The leaves are waxy, upper leaves are pointed and have no stalk. The leaf base almost encircles the stem, so the stem appears to perforate the leaf, hence the name 'perfoliate'. The inflorescences are clusters of white 4-petalled flowers occurring at the top of smooth hairless stems.  Fruits are 4mm long by 5mm wide, heart-shaped and flattened, with membranous wings along each edge. Perfoliate penny-cress has always been rare in arable habitats.",Calcareous clay loams.,Autumn (limited spring germination),April - May  ,Short-lived, Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Vulnerable   ,images/Microthlaspi_perfoliatum.jpg,Stefan lefnaer,images/Microthlaspi perfoliatum.svg,,images/images/Microthlaspi perfoliatum.svg
